#{"t_start": 1754743158.517612, "env_id": "None"}
r,l,t
217.733648,10,943.752255
639.024516,1,944.429531
634.60255,4,945.199972
629.22179,7,945.997631
333.969414,19,947.096066
616.725598,15,948.101501
626.304184,5,948.854297
664.164412,1,949.501251
627.337631,10,950.433382
332.359106,24,951.698151
639.201847,1,952.345484
633.931022,6,953.145621
337.341903,5,953.868662
614.479755,19,954.99622
578.80971,44,956.83449
606.873136,23,958.084065
623.808072,9,958.950517
622.7642,17,959.994848
629.930961,3,960.797447
634.213055,1,961.446102
630.229577,5,962.217625
623.618099,10,963.150422
635.171555,2,963.845673
618.974373,14,964.883434
318.28403,2,965.51243
611.415289,17,966.592727
596.047484,25,967.848504
635.654155,3,968.582008
654.761121,9,969.403121
225.317001,4,969.835813
308.588161,27,971.092607
655.495412,8,971.963022
632.439799,6,972.730725
623.365249,12,973.660416
616.484649,16,974.746258
622.322228,12,975.765233
622.257671,11,976.677139
631.647897,6,977.466356
627.925068,7,978.210038
365.194449,10,979.062604
626.174206,7,979.99381
221.285795,7,980.514796
222.526305,6,981.026391
613.992479,16,982.126317
633.401153,1,982.83155
627.633964,7,983.667511
630.439303,4,984.398487
634.606809,2,985.094073
343.628172,1,985.697204
220.272928,8,986.261352
628.768722,2,987.012965
229.0,1,987.378528
227.775353,2,987.781133
333.277103,27,989.084044
634.652643,1,989.747884
356.879637,5,990.511511
631.529641,3,991.223861
630.639499,3,992.041852
642.59048,18,993.135147
627.356681,11,994.023823
337.850639,8,994.862382
229.0,1,995.224679
634.087782,1,995.891423
627.946935,6,996.699485
227.752091,2,997.097252
658.324794,5,997.841665
570.606301,7,998.749399
602.130671,28,1000.074707
619.251273,13,1001.044683
624.038871,14,1002.107281
223.970526,5,1002.563241
619.183941,14,1003.562294
628.11701,1,1004.160156
634.589003,1,1004.875547
620.788171,11,1005.826969
312.812455,4,1006.543207
178.079281,41,1007.945408
637.257099,2,1008.612944
662.905058,2,1009.280048
662.097022,1,1009.946471
635.12363,2,1010.623514
217.906941,10,1011.207076
328.503036,6,1011.958475
630.971101,3,1012.656677
631.023608,8,1013.531653
220.4462,8,1014.082125
623.49698,14,1015.056621
345.527369,10,1015.889875
227.775571,2,1016.257956
623.04104,9,1017.197831
219.828278,8,1017.743406
320.983284,1,1018.344267
613.566026,18,1019.444004
220.264324,8,1019.995061
663.493831,1,1020.655777
632.529952,2,1021.325227
628.134228,10,1022.209704
353.63465,1,1022.824098
634.137334,4,1023.559646
353.618267,7,1024.292624
229.0,1,1024.658343
221.680904,7,1025.177938
630.34064,4,1025.941712
623.214322,9,1026.788363
624.728142,8,1027.694248
350.724447,1,1028.291451
612.850809,20,1029.42783
