#{"t_start": 1755046992.0441716, "env_id": "None"}
r,l,t
633.28468,5,1307.029182
598.134516,28,1308.946604
587.748353,33,1311.176781
192.398364,29,1312.756887
552.935215,59,1315.834787
563.222619,51,1318.680979
421.433077,154,1325.450796
377.439587,184,1333.708324
622.737446,8,1334.771606
614.085319,13,1336.063179
552.013355,59,1339.050601
614.633377,19,1340.387821
616.294114,13,1341.709013
528.821134,81,1345.519775
550.417586,67,1349.405785
607.537874,21,1351.12746
626.025348,7,1352.238525
630.422565,4,1353.225666
320.759971,35,1355.411616
623.405475,15,1356.653618
635.166948,6,1357.530555
600.103559,26,1359.103401
661.885738,4,1359.873102
413.088955,161,1366.231098
567.771893,51,1368.591319
620.116694,14,1369.719665
598.15603,28,1371.343224
340.761507,10,1372.284337
634.959788,5,1373.120503
623.811518,13,1374.215763
617.949481,11,1375.260417
613.451574,20,1376.560849
619.838562,15,1377.74209
619.717308,11,1378.758092
615.716833,15,1379.919894
570.364302,49,1382.252623
216.22471,11,1382.976692
617.839844,15,1384.169767
631.486635,5,1384.939151
174.308953,41,1386.680897
626.477874,6,1387.593916
627.053397,6,1388.437711
620.033726,12,1389.50973
628.724906,5,1390.32229
626.456998,7,1391.195717
635.352425,5,1392.08348
622.233501,10,1393.082701
620.467944,11,1394.127733
625.631202,8,1395.101215
583.218237,42,1397.27649
624.204962,9,1398.244967
631.110651,3,1399.216745
633.557704,2,1401.310236
619.752856,11,1402.371444
623.555669,9,1403.407918
599.913635,20,1404.85274
321.10644,40,1406.893816
614.874058,17,1408.36918
628.65936,5,1409.269749
580.670786,40,1411.619197
630.323221,2,1412.380088
332.599189,23,1413.915156
635.794925,3,1414.705877
624.767036,11,1415.833781
654.173405,10,1416.911724
637.625785,2,1417.682939
610.326018,19,1419.177275
621.262252,12,1420.596215
611.631997,18,1421.994925
370.168158,2,1422.690116
344.929945,8,1423.621974
607.923943,26,1425.260128
229.0,1,1425.659733
653.68713,9,1426.638867
658.366466,5,1427.521931
570.970055,51,1430.180655
622.874957,5,1431.047723
227.753308,2,1431.471164
616.095526,16,1432.679966
619.147897,18,1433.905697
204.413842,20,1434.953689
637.299767,2,1435.741116
320.814002,13,1436.831941
631.55135,2,1437.576813
613.672454,16,1438.849733
613.91338,19,1440.400217
225.109764,4,1440.887167
218.928659,9,1441.557205
217.073494,10,1442.281054
311.998892,7,1443.149902
634.448968,1,1443.821788
637.012252,2,1444.537602
