#{"t_start": 1754942248.3724322, "env_id": "None"}
r,l,t
630.039843,3,1313.708959
620.574577,11,1314.552287
620.983837,13,1315.437247
631.622795,2,1316.162357
357.44725,3,1316.78406
630.47892,6,1317.566761
626.873366,8,1318.409227
629.102271,2,1319.072998
630.278244,8,1319.895111
616.615493,15,1320.89673
190.853304,30,1321.976755
616.402641,15,1322.993685
229.0,1,1323.349944
229.0,1,1323.700884
622.915917,13,1324.666455
229.0,1,1325.016442
205.205474,19,1325.811056
633.38518,3,1326.517515
615.518928,15,1327.512719
588.135831,35,1329.020127
619.666218,12,1329.938986
646.431286,13,1330.92012
612.166437,22,1332.094038
607.582194,24,1333.372736
641.117149,17,1334.426131
626.220746,11,1335.320136
619.547825,14,1336.297725
608.882466,15,1337.268605
584.908825,39,1338.82995
653.748546,7,1339.618692
622.932302,12,1340.52003
639.194126,1,1341.162934
227.876024,2,1341.546772
626.668554,7,1342.343492
607.947793,21,1343.458016
614.764463,15,1344.488605
601.989953,27,1345.797907
351.866722,1,1346.4345
154.254159,58,1348.19951
220.82599,7,1348.709811
621.523298,10,1349.593851
229.0,1,1349.963349
621.34545,14,1350.928754
651.670944,9,1351.790349
620.165884,6,1352.506171
622.2529,10,1353.377513
204.634179,19,1354.193647
627.038878,10,1355.057045
329.285297,17,1356.022019
629.118167,5,1356.763637
637.085251,2,1357.420264
334.432777,26,1358.644182
365.218382,10,1359.509547
628.595577,8,1360.333232
595.425047,32,1361.739211
631.629317,6,1362.476579
581.304578,43,1364.170615
636.021877,4,1364.885302
637.655666,4,1365.607095
316.98103,12,1366.445422
631.928463,4,1367.187087
627.413148,11,1368.066229
618.981737,13,1369.026006
595.199668,29,1370.370067
615.347879,11,1371.2617
604.900403,27,1372.531635
630.265591,25,1373.791305
603.785965,24,1375.14379
602.195332,27,1376.462059
603.166868,26,1377.899429
279.906942,55,1379.873793
593.010072,32,1381.297789
604.002804,24,1382.54047
622.34018,10,1383.439204
622.457924,31,1385.001172
624.756262,11,1385.915725
590.69701,31,1387.30178
618.290177,12,1388.22605
623.582561,9,1389.090528
208.859954,16,1389.847435
610.176847,20,1391.04095
595.09612,29,1392.666927
617.859487,14,1393.672657
617.094733,20,1394.94934
567.750882,51,1396.857659
225.059468,4,1397.419485
222.309092,6,1397.907806
603.046807,23,1399.110463
631.803348,7,1399.937564
630.172237,4,1400.696003
